geo_id,fips,county,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,year
0500000US13115,13115,"Floyd County, Georgia",37769,43,1879,5082,525,3416,1935,546,1663,3789,11238,3251,2462,1940,2010
0500000US13117,13117,"Forsyth County, Georgia",81464,319,6061,8843,3292,8944,3266,3848,7517,13885,10733,7416,5353,1987,2010
0500000US13121,13121,"Fulton County, Georgia",431345,1074,19605,27235,14536,48859,24765,21163,34997,75643,80023,48003,16680,18762,2010
0500000US13127,13127,"Glynn County, Georgia",,,,,,,,,,,,,,,2010
0500000US13135,13135,"Gwinnett County, Georgia",382362,683,31583,33340,17197,52365,16512,12982,29858,49934,68641,31376,24746,13145,2010
0500000US13139,13139,"Hall County, Georgia",75227,1474,5017,15735,3280,7468,2801,1151,4045,6235,16121,5752,3710,2438,2010
0500000US13151,13151,"Henry County, Georgia",91762,582,3574,7499,3239,11987,11447,2641,6372,6820,18912,7121,4279,7289,2010
0500000US13153,13153,"Houston County, Georgia",60696,410,4384,4740,661,7852,2153,820,3231,4509,12225,5428,2266,12017,2010
0500000US13185,13185,"Lowndes County, Georgia",44721,935,1687,3077,924,8010,2098,399,2141,3148,12141,5398,1981,2782,2010
0500000US13215,13215,"Muscogee County, Georgia",71622,134,4040,6419,1023,8057,2787,875,7815,6195,18800,7700,3690,4087,2010
0500000US13217,13217,"Newton County, Georgia",40929,251,2658,5674,1579,4628,2722,971,1117,4239,11183,2812,1956,1139,2010
0500000US13223,13223,"Paulding County, Georgia",66079,499,4550,6035,3287,6911,5533,1973,4397,6976,13758,5316,3892,2952,2010
0500000US13245,13245,"Richmond County, Georgia",78341,347,5023,8537,1584,9219,4919,1930,2425,5542,20232,9464,3558,5561,2010
0500000US13247,13247,"Rockdale County, Georgia",,,,,,,,,,,,,,,2010
0500000US13285,13285,"Troup County, Georgia",,,,,,,,,,,,,,,2010
0500000US13295,13295,"Walker County, Georgia",,,,,,,,,,,,,,,2010
0500000US13297,13297,"Walton County, Georgia",38496,218,3078,4699,2062,6149,1875,752,1801,2657,8432,1381,2507,2885,2010
0500000US13313,13313,"Whitfield County, Georgia",,,,,,,,,,,,,,,2010
0500000US15001,15001,"Hawaii County, Hawaii",79982,3757,9361,1712,1604,9102,3656,1111,3841,7783,17027,12772,3379,4877,2010
0500000US15003,15003,"Honolulu County, Hawaii",452669,3416,31171,14494,11858,52471,27064,7424,32415,41365,104217,60822,20236,45716,2010
0500000US15007,15007,"Kauai County, Hawaii",31613,1039,2567,416,882,3016,2436,690,1886,3190,5550,7105,1526,1310,2010
0500000US15009,15009,"Maui County, Hawaii",73905,2164,6182,1759,1434,8056,4328,813,5675,7600,10743,18053,3521,3577,2010
0500000US16001,16001,"Ada County, Idaho",185843,2671,10568,17914,5201,22354,7739,4368,12829,24442,40100,18693,6920,12044,2010
0500000US16005,16005,"Bannock County, Idaho",,,,,,,,,,,,,,,2010
0500000US16019,16019,"Bonneville County, Idaho",45647,1386,2244,4065,1605,5772,1516,1463,2163,7429,8627,5438,1803,2136,2010
0500000US16027,16027,"Canyon County, Idaho",73768,3794,5024,9045,3468,8610,4446,1543,3596,7470,17126,2700,3876,3070,2010
